Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Idle Mean,Attack_Label
122958,13,12,2825,386,199.39463139186572,134.86973420632478,149.3627531935012,542.997979764217,77.25009884982335,896.4908606290408,8816.479545748107,752.0469278058611,29200,8192,9,22,83163.96259946434,132967.18127374694,1
672155,18,9,741,701,647.0373644859709,21.448132902695335,232.6478376731032,1268.164362315178,313.79995700551314,45.11488948824989,4489.267092688944,709.3779303098892,65535,8192,1,27,65649.83125788874,142147.03573761162,1
132932,32,13,3602,2606,249.68183729279585,352.82657881848417,562.5528165469328,685.4166105833488,37.735512505307156,864.5554748843756,611.0295648660358,289.27169372447804,65535,8192,7,39,50952.94466308278,187068.86173153363,0
1415414,32,17,932,972,1053.5183544111885,226.04226482152353,766.4520702108517,1092.397623580051,95.65848606021403,366.3619096343239,8445.563757121603,62.02487535278311,29200,29200,2,38,23689.16932613305,188474.57430050295,0
260178,35,8,3377,1384,1140.7135202827449,51.275669135828565,623.1577928769359,152.34894937799336,169.58908896195655,642.9453758663918,6739.812723165507,858.0780722249439,8192,0,8,21,92215.60928441523,110330.46476384717,0
1693743,39,38,890,983,167.63681520647043,354.05388667004337,239.8125736721546,600.0762759904958,39.857162088876805,922.9777265973285,8492.586264996466,313.6976380699026,8192,29200,5,39,5420.080884203327,99075.96345719609,1
111268,46,27,32,1511,764.1483805150201,16.55627964684869,10.933612102215431,1475.029740343874,96.65793630965558,160.18954934885943,1385.474424446943,195.71341492826522,29200,8192,8,25,68891.30176988152,67076.32164538202,1
733180,29,2,2675,351,1223.7913334786165,435.2281485556288,759.5790745043648,1214.605831320951,455.72362470277204,571.280970882422,307.5294050971633,516.0618223609771,65535,29200,8,32,62123.98928093688,143114.32204049366,0
1104462,49,19,517,1724,1404.8829319109848,70.18761202753856,985.3552526519828,248.31179552672367,10.630266981265395,766.7885337464901,9343.745403825013,910.2271992824474,29200,0,6,15,44104.15222565268,107641.77739596259,0
138337,29,5,1776,1951,775.1416214452373,64.52862749461578,811.8139891030295,423.8684337211101,327.0625301630067,760.0079943918668,1477.283058505743,43.546577843375346,8192,8192,9,37,24032.095529260532,186575.01594802493,1
1000890,44,26,2305,1279,1425.9160431809964,88.66047668632368,465.60455197504916,501.425555195978,192.82005652667726,530.3755954535089,8096.5233207045185,765.8040880308878,8192,0,7,37,43069.593684526684,47725.18974252107,0
1571006,16,1,1137,1907,808.1765659794844,480.1729128875412,904.7295887851155,979.044685138214,336.6517209767532,628.4920653073935,8232.099421806359,572.4732279387089,29200,0,1,16,87277.27255534206,62050.53725009815,0
1137074,44,28,3429,752,597.3438369538628,346.89151076666917,415.74919638716653,1137.9221916395868,294.7571684613389,759.9517241915161,7087.05200549003,425.4491165518169,8192,0,4,33,83676.61102549541,63218.08948399375,0
1948735,47,37,2848,2828,1273.8226615438143,400.8843961963547,529.6847434010328,1126.7946471237856,112.5258784229675,842.6173613798376,1312.6221109287096,744.08044410506,65535,8192,2,18,94138.12499770292,161199.6909113414,1
913756,10,2,1214,1024,744.5442385825527,199.41985788064375,482.3584697217264,769.7123438965402,423.7575342991209,764.1949659071051,6673.9862456080755,965.8244244416323,29200,29200,0,19,30779.320662524802,19808.066368430467,0
176203,30,15,2024,545,713.1347407411394,168.82005102497283,453.1476339388697,1218.1226013788453,246.47825092206898,360.46489374943025,8890.865833268655,229.20621116269103,65535,8192,5,14,38710.41583688729,91129.82419779594,1
1240911,25,29,2673,1469,740.5656092206442,118.0075193848018,777.4388616009667,661.2463433086378,411.4454734378224,996.7591370471558,4255.316448008833,143.6473650721196,65535,8192,8,36,1872.6152659863326,85516.14739460946,0
279167,39,39,2728,78,1271.7096527859205,240.84336612789207,531.501218196797,194.58204229038725,203.60025555792137,440.15766678211133,4135.168543785989,912.8817452226971,29200,29200,1,30,94294.99947200081,14627.92420275172,0
42090,20,1,1667,1259,1249.5928971151977,276.3625380335501,323.5499508049639,851.0183440641817,492.3580914037043,34.22005573134409,4428.583095794191,668.9530774573037,29200,29200,8,13,32939.009181726884,82159.39970886943,0
330365,5,16,1610,2381,611.2447887359147,316.25564698272495,265.5765859818936,1428.929063055649,385.47418989214685,368.9907820696074,822.7189067620644,437.98602156196597,8192,29200,7,20,40416.382153299324,102675.59665679626,1
1114396,1,40,2916,888,506.61679120708226,129.30213349534856,47.36984379775905,1191.560540574842,483.0091523511742,136.50512502810483,8920.255690299735,573.2595702642831,8192,29200,8,28,90780.46114473946,13020.93850098265,0
788201,30,11,3003,1105,742.9727558183026,474.37838637059235,587.3632102642156,872.2639650614411,257.6489129760196,130.22818957109126,8691.828639805104,745.6139051762441,29200,0,4,38,52659.84301668132,101972.42568893348,0
1371455,49,34,1510,2549,863.4310395082924,85.70949060536078,237.66180124702387,973.7404339201544,237.37187501305954,288.7196897058254,9979.093217902862,773.0318987057173,29200,8192,1,16,56617.4541755478,191847.58093668023,1
1767891,3,42,2695,1990,365.12244383571544,482.86093420843974,156.65258279621926,1396.5374202830033,377.9714508533037,62.841739235488234,5851.831414984134,919.8941808189645,8192,8192,9,22,17623.283815091683,195782.86463230645,0
328069,45,0,162,1500,1192.99307622623,8.41320513124439,657.2916641894009,648.2307637080911,440.26534024370164,691.6270665254674,7511.916364513858,426.8427888956227,8192,8192,9,22,49866.002081865445,106335.95571796224,1
1826573,14,44,1244,2812,734.8593209413101,241.08172021660596,684.3971652433333,503.7772670245297,482.10875213691344,83.24899535988602,2026.719063073047,293.41091001939503,8192,29200,5,30,91820.86009087742,103019.3865205918,0
1248617,30,14,3271,920,507.72786714573976,167.35055122016482,754.6333433350893,1466.089931850669,162.95140111021738,211.25665988159662,6675.288182241696,639.6642667898419,29200,8192,6,32,55871.8088107926,57101.63328327829,0
792743,4,25,2781,549,169.16327951634602,225.11258355119514,508.5411273752056,1296.5302689303967,399.55358234747683,101.97071734917819,6497.328487573906,415.72789927953033,29200,0,2,27,25511.636463975807,199423.0943424203,0
104355,18,36,3455,2061,365.87928900137433,285.7616249114137,895.1140591518478,491.33494108171755,106.11215322013281,72.53605359400076,9012.087358416124,594.598453948978,8192,8192,5,34,3118.086413476284,54845.834205045205,1
1285372,37,20,2546,391,1424.4289459164156,218.35898984834182,936.9793258642455,701.033090067775,273.24159902597717,275.07414888414627,8307.927228390741,419.9857984559502,65535,8192,5,34,33630.177345406795,90580.26008799126,0
1263752,25,48,584,2357,464.5985333610946,208.00857830049588,809.2972303945645,628.4664122216205,90.74422605619039,576.1799779837662,9384.664626177631,152.99578667817448,65535,0,7,38,57259.0914064458,586.8115605353053,1
185779,48,30,2538,2433,261.6003411568826,366.62898429124,639.2375471881054,232.15256122043652,174.3512835134191,965.0387008823733,8688.334727016076,469.42675165895844,8192,0,0,18,4261.328837083011,69846.45818182737,0
